PSNR,init_sd,sum,iter
15.121195268977006,25.0,4193238.186745244,0.0
15.61001298447437,25.0,4260018.5,8.0
16.028393326789075,25.0,4275066.5,16.0
16.566733519268507,25.0,4285132.0,32.0
17.22404080080324,25.0,4289000.0,64.0
18.013484158474977,25.0,4289745.5,128.0
18.938868919253018,25.0,4289746.0,256.0
19.79404707390302,25.0,4289706.5,512.0
19.829554870273487,25.0,4289691.0,1024.0
15.121441834586584,20.0,4192428.8951874883,0.0
15.610408119360631,20.0,4258365.0,8.0
16.029611366343467,20.0,4273453.5,16.0
16.56970563760418,20.0,4283735.0,32.0
17.230288825433323,20.0,4287626.0,64.0
18.02590906714515,20.0,4288377.0,128.0
18.959837722673413,20.0,4288393.5,256.0
19.81678161191723,20.0,4288382.0,512.0
19.82569234127498,20.0,4288414.0,1024.0
15.12139174820236,18.0,4193029.0034653335,0.0
15.609943839565297,18.0,4259317.0,8.0
16.028189050508757,18.0,4274400.0,16.0
16.56649651478373,18.0,4284550.0,32.0
17.224134803957234,18.0,4288376.0,64.0
18.01333169230776,18.0,4289101.5,128.0
18.92908699558872,18.0,4289136.0,256.0
19.718052138397734,18.0,4289118.0,512.0
19.515599035376304,18.0,4289118.0,1024.0
15.120944163877411,15.0,4192572.2816969096,0.0
15.61083292946337,15.0,4258594.0,8.0
16.03016831765586,15.0,4273819.0,16.0
16.570059486722492,15.0,4284133.5,32.0
17.22988226024352,15.0,4288083.5,64.0
18.024333455447245,15.0,4288879.5,128.0
18.961428170400087,15.0,4288922.5,256.0
19.847960408968,15.0,4288912.0,512.0
19.938928702974714,15.0,4288887.5,1024.0
15.120491944741396,13.0,4190654.9545977693,0.0
15.60954103062106,13.0,4255026.5,8.0
16.027868889713517,13.0,4270572.5,16.0
16.567161006488142,13.0,4281024.0,32.0
17.228834869049756,13.0,4285002.5,64.0
18.0253631635976,13.0,4285930.5,128.0
18.94626684796052,13.0,4286153.0,256.0
19.73045417572139,13.0,4286174.5,512.0
19.52623508886522,13.0,4286177.0,1024.0
15.119585879144527,10.0,4191668.753293049,0.0
15.608851866407225,10.0,4256292.5,8.0
16.026229709976356,10.0,4271977.5,16.0
16.563485452541016,10.0,4282683.5,32.0
17.219001182771184,10.0,4286966.0,64.0
17.9922933807797,10.0,4288062.5,128.0
18.818478907457397,10.0,4288289.5,256.0
19.25473039809184,10.0,4288362.5,512.0
18.335417572393954,10.0,4288422.5,1024.0
15.114300064609957,5.0,4193090.3147426676,0.0
15.607827735243179,5.0,4255799.0,8.0
16.021938289356143,5.0,4272008.0,16.0
16.550177044955785,5.0,4282961.0,32.0
17.183508804244674,5.0,4286997.5,64.0
17.90723576797731,5.0,4287922.0,128.0
18.633881067403003,5.0,4287912.5,256.0
18.872059874080314,5.0,4287968.5,512.0
17.627298633819926,5.0,4288073.0,1024.0
15.107028067122673,2.0,4196396.81160749,0.0
15.606114498678956,2.0,4262098.0,8.0
16.02471578533794,2.0,4279345.5,16.0
16.560106119527006,2.0,4291596.5,32.0
17.19148041162557,2.0,4296672.5,64.0
17.863047213698657,2.0,4297671.0,128.0
18.37645164192281,2.0,4297902.5,256.0
18.105970130190116,2.0,4298109.0,512.0
16.44654119419713,2.0,4298158.0,1024.0
15.104210879752902,1.0,4187134.861407413,0.0
15.606908105270136,1.0,4251403.0,8.0
16.021932519608583,1.0,4267848.5,16.0
16.550120701098887,1.0,4279386.5,32.0
17.178422067632503,1.0,4284152.0,64.0
17.871850795756295,1.0,4284842.0,128.0
18.469384228110748,1.0,4284629.0,256.0
18.383128875276743,1.0,4284398.5,512.0
16.828751779829755,1.0,4284429.0,1024.0
15.103226784016815,0.0,4204164.239317171,0.0
15.606445741628843,0.0,4264338.5,8.0
16.01907777431996,0.0,4282596.0,16.0
16.53871138724881,0.0,4295672.0,32.0
17.146029615832518,0.0,4300927.0,64.0
17.791459560283176,0.0,4302203.5,128.0
18.276629635479424,0.0,4302349.0,256.0
17.966649957933555,0.0,4302316.5,512.0
16.161837927991503,0.0,4302222.5,1024.0
